,Title,Price,Bedrooms,SqFt,Location
157,NEW LANEWAY HOUSE FOR RENT,1500,2,600,Knight Street
158,1 bedroom in the heart of Vancouver,1750,1,NA,Comox Street
159,Furnished Condo Near 4th Ave (Utilities Included),2200,1,530,"W Broadway, Kitselano"
160,West end Bachelor suite,1200,NA,NA,Comox Street
161,2 BEDROOM BASEMENT SUITE AVAILABLE FOR RENT,1500,2,750,South Vancouver
162,LARGE 2 BED/2 BATH ACROSS FROM PARK IN FANTASTIC LOCATION,2400,2,NA,W 12th Avenue
163,4 bedroom $3400,3400,4,NA,E 12th Avenue
164,"+++++ 2bdr 2bath, amazing view, Yaletown +++++",3280,NA,NA,"Richards Street, Yaletown"
165,VGH 1bdrm Dec 1st,1495,1,NA,W 13 h Avenue
166,1 Bdrm 8th floor on Robson st and Chilco ava 1 Dec,1400,1,525,Barclay Street
167,"Pet friendly renovated 3 bedrooms, 1 1/2 baths upper floor",2800,3,1400,NA
168,Beautiful Apartment for rent located near Joyce Skytrain station,1800,2,NA,Vanness Avenue
169,Pet friendly Furnished or unfurnished 2 bedrooms + family room + flex,4300,2,1112,Richards Street
170,Unfurnished Yaletown Marinaside 1bdrm Condo-Quaywest Building,2400,1,582,"Marinaside, Yaletown"
171,$3975/3BR - 2000 sq.ft. Beautiful Kitsilano Heritage House for Rent,3975,3,2000,W 7th Avenue
172,Main street/mount pleasant/ fraserhood 2 bedroom!,1900,2,700,Main Street
173,Brand New 2 Bedroom Laneway House,2000,2,700,NA
174,"PROTECTION PROPERTY MGMT- 1 Bed Unit, Mount Pleasant REF#30933514",1495,1,500,E 14th Avenue
175,<f0><U+009F><U+0094><U+0086> UNIQUE || Artistic 2 Bedroom Condo for Rent in Coal Harbour,2790,2,980,"Cordova Street, Coal Harbour"
176,Studio west end steps to English Bay,1350,1,480,Harwood Street
177,YALETOWN Living -  1 bdrm/1 bath & Den Condo!,2000,1,650,Homer Street
178,Junior 2 bed 2 bath in the best DT area!,2800,2,819,Seymour Street
179,Available Now! Spacious 1 Bedroom with view of Downtown!,1900,1,NA,Scotia Street
180,VANCOUVER FURNISHED*SUPREMELY PRIVATE*STUNNING VIEWS!OFFICE*GYM*PATINA,4795,2,1100,NA
181,<f0><U+009F><U+0094><U+0086> Ultra High End 5 Bedroom + 4 Bath. Brand New Home in Mt. Pleasant,6500,5,2368,W 2nd Avenue
182,NEW SUB-PENTHOUSE*VIEWS! HRDWD 2BD/2BATH+DECK*WALL CENTRE Central Park,2395,2,800,Boundary Road
183,<f0><U+009F><U+0094><U+0086> Beautiful Brand New 2 Bedroom Laneway Home in Vancouver East,2400,2,720,Anzio Drive
184,<f0><U+009F><U+0094><U+0086> Lovely Fully Furnished Studio Close to Downtown!,2300,1,464,Union Street
185,Top Floor Large Suite With Great City And Mountain View,1750,1,780,Oak Street
186,DOWNTOWN YALETOWN || Executive 3 Bedroom Condo Fully Furnished,3800,3,1200,"Homer Street, Yaletown"
187,<f0><U+009F><U+0094><U+0086> Fully Furnished 3 Bedroom + 2 Bath Condo in Downtown Vancouver,3800,3,710,Seymour Street
188,$2000 1Br 500ft2 Must see!! Bright and Gorgeous Basement Suite!,2000,1,500,W 10th Avenue
189,1bed executive suite,2000,1,640,Hemlock Street
190,<f0><U+009F><U+0094><U+0086> Lovely 2 Bed + Large Den Suite on MarinaSide Crescent,2900,2,1150,"Homer Street, Yaletown"
191,$1350 for 2BR ground level suite private entry Fraserview Vancouver,1350,2,NA,NA
192,3 Bed 1 bath Renovated House For RENT Available Nov 15<U+25C4>,2100,3,NA,Surrey
193,Scam Alert!---Porter 1Bedroom Fully Furnished,900,1,NA,Vancouver
194,<f0><U+009F><U+0094><U+0086> Fully Furnished 2 Bedroom Suite at West One in False Creek/Yaletown,3600,2,750,Strathmore Mews
195,"1 bedroom location, location!!",1450,1,650,Commercial Drive
196,West Van Dunbar place whole house for rent (expect bsmt),6000,6,6510,W 34th Avenue
197,<f0><U+009F><U+0094><U+0086> Fully Furnished High End 5 Bedroom 4 Bath House in Lynn Valley,4990,5,2600,Lynn Valley
198,"willoughby langley 5 bed, 3.5 bath, double garage",3300,NA,NA,Langley
199,False creek condo furnished with spectacular views for rent.,2500,1,600,"W 1st Avenue, False Creek"
200,NEWLY RENOVATED STUDIO APARTMENT WITH PATIO,1500,NA,400,NA
201,<f0><U+009F><U+0094><U+0086> Picturesque 2 Bed Townhome along Marinaside Crescent - Furnished,2880,2,740,Marinaside Crescent
202,5bedroom 2 bath house upstairs in Arbutus area,3950,5,1800,W 31St Avenue
203,Riverwalk Brandnew 2 bedroom 2 baths plus den $2600/month,2600,2,960,Riverwalk Avenue
204,"Large 2 BR + Den + Solarium, Coal Harbour, West Georgia, Renovated",3000,2,800,"Cordova Street, Coal Harbour"
205,6 bedroom single house in Vancouver West Point Grey near UBC,4200,6,3000,Belmont Avenue
206,Coal Harbour Neighbourhood - 1 and 2 Bedroom Suites Available,1895,NA,550,W Georgia Street
207,"Renovated 2BR Kitsilano House - Basement, Hardwood Floors, Laundry",2550,2,869,W 10th Avenue
208,Coal Harbour 1 Bedroom + Den + Parking,1950,1,550,NA
209,<f0><U+009F><U+0094><U+0086>Stunning 1350 sq. ft. 2 Bed 2 Bath Condo on High Floor - Unfurnished,3300,2,1350,Hornby Street
210,"3br - New Large 3BR suite in beautiful Oakridge area(approx 1,000 sf)",2300,3,1000,Oak Street
211,"*** Bright & Clean - 1Bed & Den, 1Bath Condo for Rent",2200,1,626,NA
212,3 BLOCKS TO KITS BEACH- NORTH OF 4TH,4500,2,1435,W 3rd Road
213,FAIRVIEW TOWNHOUSE - 2 BED / 1 BATH,2200,2,800,NA
214,"*** Bright & Clean - 1Bed & Den, 1Bath Condo for Rent ***",2200,1,626,NA
215,Telus Garden 1 Bed Furnished Luxury Condo for Rent,2500,1,540,Richards Street
216,New Renovated Fully Furhished Kingsway and Nanaimo-Reduced!,1600,1,575,East Vancouver
217,Funky 2 bedroom in the heart of Kits,2750,2,900,"W Broadway, Kitselano"
218,NEW+MASSIVE PRIVATE DECK*WALL CENTRE Cntl Park*HARDWOOD BDRM*POOL,1975,1,550,Boundary Road
219,VERY NICE APARTAMENT IN DOWNTOWN,2100,1,NA,Powell Street
220,2 bed 2 bath - Icon,3350,2,1245,Beach Cresent
221,2 bed 2 bath - Matthews House,2650,2,885,Maclure Mews
222,2 bed 2 bath - King's Landing,3800,2,1186,Beach Cresent
223,FURNISHED DOWNTOWN*LUXURY*SPECTACULAR VIEWS*KING+QUEEN+OFFICE+2 DECKS!,5995,2,1350,NA
224,1 bed 1 bath - Alto,2300,1,631,Howe Street
225,"willougby langley 3000psqft, 5 bed, 3.5 bath, double garage",3300,NA,NA,Langley
226,FURNISHED DOWNTOWN VANCOUVER*S/E/N/W SPECTACULAR VIEWS! SUB-PENTHOUSE,4795,2,1241,"Homer Street, Yaletown"
227,3 BLOCKS TO KITS BEACH- NORTH OF 4TH,4500,2,1430,W 3rd Road
228,VANCOUVER DOWNTOWN 2 BEDROOM APARTMENT,2950,2,814,NA
229,"Furnished downtown Yaletown, 1 bedroom+den,Skytrain, Dec1",2200,1,700,Homer Street
230,Vancouver TWO bedroom suite-including utilities and wifi,1750,2,900,Nootka Street
231,"Newley renovated in the heart of downtown, with A/C",2500,2,812,NA
232,Vancouver Downtown - 822 Seymour Street furnished Sub Penthouse,3000,2,810,Seymour Street
233,3 bedroom apartment for rent.,2500,3,1375,NA
234,2 Bedroom 2 Bathroom LANEWAY HOME NEAR OAKRIDGE CENTRE,2000,2,970,Oak Street
235,Beautiful  2br(2 baths)+balcony from Jan.1 in Excellent Neighborhood!,2650,2,802,NA
236,Beautiful Street Level Townhouse in South Main (SoMa),2400,1,705,NA
237,3 BEDROOM UPPER LEVEL HOUSE !!,2200,NA,NA,NA
238,W Broadway & Arbutus Apartment for Rent,1250,1,800,W Broadway
239,New renovated 3 bedrooms 2 bath unit Nov 30.,1750,3,NA,Knight Street
240,Spacious 1 bedroom and den downtown,1550,1,860,Hornby Street
241,Vancouver West MAGNIFICENT Basement suite in convenient location,2400,3,1100,NA
242,4 bedroom 1 bathroom basement suite,2000,4,NA,Park Drive
243,5 Star Luxury Shangri-La hotel condo(fully furnished),5500,2,1045,NA
244,"Like NEW Kerrisdale Home Basement Suite - 2 Bed, 1 Bath, All Inclusive",2200,2,1200,NA
245,Fraserview Victoria & 54 basement Welcome student,850,NA,450,Nanaimo Street
246,New Custom Made Gorgeous Executive Mansion Amazing Lifestyle,4180,5,3800,Colbeck  Road
247,Rupert & 7th Ave 7 mins walk to skytrain station & Superstore,1850,2,1000,E 7th Avenue
248,Georgeous 2 Bedroom plus den/ Marinaside/Yaletown,3180,2,845,Aquarius Mews
249,CENTRALLY LOCATED 1 BR+DEN  UNIT NEAR THE SEAWALL,2200,1,610,NA
250,$1850 / 1br - Fairview 1 Bedroom Apartment Newly Updated *Pet Friendly,1850,1,NA,W 10th Avenue
251,3 Bedroom 1 bathroom suite in Vancouver,1750,3,650,NA
252,1 bedroom + large den in the heart of Coal Harbour,2300,1,662,"W Hastings Street, Coal Harbour"
253,$1775 / 1br - Fairview - 1 Bedroom Newly Updated *Pet Friendly,1775,1,NA,W 10th Avenue
254,2 Bedroom Apartment in Coal Harbour Venus Tower - Downtown Vancouver,2700,2,850,West Georgia Street
255,"Beautiful 2 Bed, 2 Bath + Den Apartment in Coal Harbour - Vancouver",3950,2,921,Melville Street
256,$1950 - 1 Bedroom + Balcony - Mount-Pleasant -*Pet Friendly*,1950,1,NA,E 2nd Avenue
257,FURNISHED 2 BEDROOM UNIT NEAR COAL HARBOUR! WOW!,3000,2,888,NA
258,2br(2 baths)+balcony from Dec.1 in Excellent Neighborhood!,2600,2,802,NA
259,Graceful 2 Bedroom 2 Bathroom Suite with Gorgeous Views and Parking,4195,2,998,"W 2nd Avenue, Olympic Village"
260,Sleek 2 Bedroom 2 Bathroom Suite with Modern Flair and Private Patio,3695,2,720,"Keefer Street, Chinatown"
261,Upscale 1 Bedroom Plus Den Condo with A/C and Water Views,2495,1,578,"Homer Street, Yaletown"
262,"Amazing 1 Bedroom with Den, Balcony, and Stunning False Creek Views",4345,1,730,"Homer Street, Yaletown"
263,Stunning 2 Bedroom plus 2 Bathrooms with 3 Balconies and Superb Views,3495,2,1150,NA
264,Luxurious 3 Bdrm + Sub-Penthouse W/  Unobstructed Views - UNFURNISHED,4995,3,2200,South Granville
265,Gorgeous 3 Bedroom Sub Penthouse With Fashionable Decor and City Views,5495,3,1100,Downtown Vancouver
266,Gorgeous 2 Bedroom Townhouse with Rooftop Patio and 2 Parking Stalls,3995,2,1076,NA
267,Modern 1 Bedroom and Den with High-End Furnishings and a Balcony,2595,1,519,"Homer Street, Yaletown"
268,Elegant 1 Bedroom + Den Corner Suite with King-sized bed and Balcony,3495,1,705,"Homer Street, Yaletown"
269,Exquisite 1 Bedroom Plus Den Condo with Walk In Closet,2295,1,630,"W 2nd Avenue, Olympic Village"
270,Smart Executive Studio with Great Amenities and City,2095,NA,428,NA
271,Pet-Friendly 2 Bedroom House With Hardwood Floors and Fireplace,3295,2,850,East Vancouver
272,Stunning One Bedroom 1 Bathroom Corner Suite,3250,1,675,"Homer Street, Yaletown"
273,Expansive 5 Bedroom and 5 Bathroom with Private Hot Tub,5995,5,6750,Langley
274,Modern 1 Bedroom with 1 Bathroom plus Hardwood Floors and Pet Friendly,3495,1,1000,"Homer Street, Yaletown"
275,Furnished Jr 1 Bedroom with brand new furniture FOR RENT,1900,1,450,Downtown Vancouver
276,Amazing View Marinaside Yaletown & Downtown,3180,2,846,Aquarius Mews
277,Cambie & 41 Suite close to Oakridge Mall & train station,2200,2,1000,Montgomery Road
278,Luxury Waterfront 1 Bedroom Suite with a Balcony and Views,3495,1,769,"Homer Street, Yaletown"
279,Elegant 1 Bedroom 1 Bathroom with Patio and Fireplace,2695,1,800,"W Broadway, Kitselano"
280,Cozy 1 Bedroom Suite with Private Entrance and Modern Updates,1950,1,450,W 10th Avenue
281,Elegant 3 Bed 3 Bath Townhome Mount Pleasant at Awesometown,3400,NA,1305,Pender Street
282,Downtown Yaletown Marinaside Amazing View & Walking score 100,3180,2,846,Aquarius Mews
283,Luxurious 2 bedroom Corner Suite Rental with Sweeping Views and AC,5250,2,1058,NA
284,"Sophisticated 2 Bedroom, 2 Bathroom Suite with Fireplace",3995,2,888,"Cordova Street, Coal Harbour"
285,Lovely 2 Bedroom 2 Bathroom Condo with Walk-in Closet,3295,2,925,Prior Street
286,Stunning 4 Bedroom 2.5 Bathroom Home with Fireplace and Jacuzzi Tub,5595,4,2888,"Caulfeild, West Vancouver"
287,"Sophisticated 1 Bedroom, 1 Bathroom + Den and Balcony with City Views",2995,1,700,"Homer Street, Yaletown"
288,"1 Bedroom, 1 Bathroom Suite with Cozy Decor, Balcony",2195,1,650,NA
289,"Extravagant 6 Bed, 6 Bath Home with a Den, Fireplaces and Balcony",19995,6,5000,NA
290,"ontemporary 1 Bedroom Corner Suite with Den, Fireplace and Balcony",2495,1,615,"Homer Street, Yaletown"
291,"Stunning 2 Bedroom + Den, 2 Bathroom Corner Suite with Solarium",3895,2,942,"Cordova Street, Coal Harbour"
292,"Modern 2 Bedroom, 1.5 Bathroom Penthouse with High Ceilings",3895,2,1100,NA
293,2 Bedroom plus 1.5 Bathroom with Fireplace and Balcony,1995,2,1200,NA
294,Sharp Studio with an Office Area and Walk in Closet,1695,NA,430,NA
295,Charming 1 Bedroom plus Den with Fireplace,2895,1,850,"W Broadway, Kitselano"
296,Beautiful  2br(2 baths)+den in Excellent Neighborhood!,2600,2,963,Larch Street
297,"Seymour & Robson Amazing Life  Pet ok, walk score 100, close to train",1990,1,550,Seymour Street
298,Downtown Yaletown Georgeous 2 Bedroom plus den  Marinaside,3180,2,845,Aquarius Mews
299,Immaculate 2 Bed plus Den with Stylish Furnishings and Hardwood Floors,3995,2,1250,"Homer Street, Yaletown"
300,Chic 1 Bedroom plus 1 Bathroom with Fireplace and Superb Views,2695,1,630,"Homer Street, Yaletown"
301,Historic 2 Bedroom 2 Bathroom Loft with A/C and Hardwood Floors,3795,2,1066,"Powell Street, Gastown"
302,Lovely 2 Bedroom plus 2 Bathroom with Fireplace and Hardwood Flooring,3195,2,1750,Riley Parklittle Mountain
303,Modern 1 Bedroom Corner Suite with Balcony and Underground Parking,2095,1,528,"W 2nd Avenue, Olympic Village"
304,Exquisite 2 Bedroom Waterfront Suite with Stunning City,19995,2,1900,"Homer Street, Yaletown"
305,Chic 1 Bedroom Suite with Fireplace,2495,1,534,"Homer Street, Yaletown"
